#Gene_Name,Entrez
GCLC,2729
NFYA,4800
CFTR,1080
CYP51A1,1595
KRIT1,889
HS3ST1,9957
MAD1L1,8379
M6PR,4074
CYP26B1,56603
CFLAR,8837
TFPI,7035
PLXND1,23129
FKBP4,2288
KDM1A,23028
ARX,170302
SLC4A1,6521
CALCR,799
DVL2,1856
UPF1,5976
LIG3,3980
CIAPIN1,57019
CREBBP,1387
MLL5,55904
MYCBP2,23077
ITGA3,3675
ZFX,7543
CRLF1,9244
DLX6,1750
GTF2IRD1,9569
PAFAH1B1,5048
SCN4A,6329
PAX6,5080
CACNA2D2,9254
JARID2,3720
TFAP2B,7021
ADAM22,53616
CELSR3,1951
NFIX,4784
PKD1,5310
MED24,9862
RPS20,6224
REV3L,5980
PAX7,5081
BAZ1B,9031
RANBP9,10048
TCEB3,6924
NME2,4831
MKS1,54903
ABHD5,51099
MBTD1,54799
ERCC1,2067
EXTL3,2137
PSMC4,5704
PGM3,5238
DDX11,1663
TACC3,10460
MDH1,4190
COX15,1355
ISL1,3670
ATP2C1,27032
IGF1,3479
CNTN1,1272
WWTR1,25937
AGPS,8540
ATP1A2,477
CYP24A1,1591
SNAI2,6591
HGF,3082
NCDN,23154
GPR124,25960
MNAT1,4331
RUNX3,864
MRE11A,4361
NRXN3,9369
CPS1,1373
GABRA1,2554
RB1CC1,9821
ALAS1,211
STRAP,11171
UBR2,23304
HSF2,3298
RTEL1-TNFRSF6B,100533107
PRKCH,5583
VEZT,55591
BCLAF1,9774
ANK1,286
TFB1M,51106
IKZF2,22807
PNPLA6,10908
IFT88,8100
FUT8,2530
UBA6,55236
PIAS1,8554
VCL,7414
CUL3,8452
OTC,5009
CASR,846
FLT4,2324
HOXC8,3224
TLL1,7092
TRIO,7204
VCAN,1462
CDH1,999
DNAH5,1767
INPP4A,3631
ZIC2,7546
LCP2,3937
ADRB1,153
CUL7,9820
CTNNA1,1495
EPHA3,2042
HSPA5,3309
DSG2,1829
VPS13D,55187
KITLG,4254
LTBP1,4052
ELN,2006
FOXP3,50943
BCAR1,9564
RAD51,5888
PIK3CB,5291
ALX4,60529
USE1,55850
LAMA3,3909
ARID4B,51742
HHAT,55733
KIF1B,23095
FOXC1,2296
GALC,2581
KCNH2,3757
CUL1,8454
TAB2,23118
MLL3,58508
MCOLN3,55283
ZFR,51663
PCGF2,7703
PKP2,5318
F7,2155
PRDM1,639
ATG5,9474
LAMC2,3918
PPP1R12A,4659
SLC2A3,6515
WNK1,65125
COL11A1,1301
HDAC7,51564
NCKAP1,10787
GUCY1B3,2983
DGAT2,84649
POLD1,5424
RNF4,6047
CASP8,841
DLX3,1747
NGFR,4804
CDON,50937
SLC12A2,6558
DDX20,11218
CALCRL,10203
AP3D1,8943
OAT,4942
NTN1,9423
MCM10,55388
ERBB3,2065
SPEN,23013
MAP2K4,6416
COL17A1,1308
MTHFD2,10797
CTNNA2,1496
ELAVL1,1994
TIE1,7075
SPI1,6688
FGFR2,2263
KIF26A,26153
ZFAT,57623
FECH,2235
KLF6,1316
NEO1,4756
CACNB1,782
PKM,5315
DHX29,54505
TRO,7216
SYT1,6857
ROCK1,6093
CBFB,865
HYAL2,8692
HDAC4,9759
FGFR3,2261
MEF2A,4205
INPP5A,3632
TTC7A,57217
CYFIP1,23191
KIF2A,3796
IFT80,57560
PITX1,5307
NUP133,55746
RORA,6095
TGFBR3,7049
NEDD4,4734
MAPK6,5597
GNB5,10681
LRP6,4040
IKBKAP,8518
SPTB,6710
FGF10,2255
MNT,4335
JMJD6,23210
POLB,5423
NDST1,3340
CNGB1,1258
CHAT,1103
TCOF1,6949
CDC42,998
ATP2B1,490
MAP4K4,9448
WDR1,9948
SNX13,23161
SEL1L,6400
TRIP13,9319
ATP6AP1,537
TCF3,6929
DAZAP1,26528
MBD3,53615
PDCD2,5134
PRKACA,5566
SPEG,10290
TFRC,7037
SREBF1,6720
AFF4,27125
MARK2,2011
NFATC3,4775
EVC,2121
DERL2,51009
AP1M1,8907
IKBKG,8517
XRCC1,7515
SCARB1,949
MCM2,4171
TP63,8626
LLGL2,3993
NLE1,54475
KDM5A,5927
FERMT2,10979
PTGS2,5743
GLI2,2736
CLNS1A,1207
TEAD2,8463
TSG101,7251
NUAK1,9891
LMAN1,3998
ENO1,2023
SLC12A1,6557
KCNQ2,3785
SEMA3A,10371
SEMA3C,10512
CELSR1,9620
FGF4,2249
MARK3,4140
FNDC3B,64778
FOSL2,2355
ACTB,60
DLG1,1739
PAX2,5076
KIFAP3,22920
MCM6,4175
PTPN23,25930
MLH1,4292
TRAF4,9618
XAB2,56949
MAP2K7,5609
DGKD,8527
ACTL6B,51412
TOP2B,7155
GTF3C1,2975
DCX,1641
SIRT6,51548
TYR,7299
PHF17,79960
UBE2A,7319
FGFR1,2260
GTF2I,2969
FBLN1,2192
ITGA8,8516
ARAF,369
PIK3C3,5289
TULP3,7289
GNB1,2782
EDN1,1906
ADCYAP1R1,117
NRD1,4898
CBFA2T2,9139
TP73,7161
RUNX1T1,862
THOC1,9984
XRCC5,7520
SENP1,29843
FDFT1,2222
KIF22,3835
DNM2,1785
RIMS1,22999
KEAP1,9817
RFX3,5991
RIF1,55183
SLC4A4,8671
CPB2,1361
CHRNA3,1136
KCNN2,3781
PSEN1,5663
RBL1,5933
MEF2C,4208
PTPRC,5788
CACNA1S,779
UBA5,79876
LRP2,4036
CCNT2,905
COL19A1,1310
NFE2L1,4779
GSK3B,2932
ERC1,23085
PALB2,79728
KAT6A,7994
GRHL2,79977
PDS5B,23047
OXCT1,5019
CYLD,1540
FAT1,2195
ZMPSTE24,10269
NOA1,84273
REST,5978
APLP2,334
APOB,338
HADHA,3030
ATRX,546
MECOM,2122
MAP3K4,4216
RRN3,54700
CTTN,2017
WNT11,7481
ATG16L1,55054
POMGNT1,55624
B4GALT1,2683
CHMP5,51510
TMED2,10959
HSD17B2,3294
HUWE1,10075
MTMR2,8898
ACHE,43
SRRT,51593
NLK,51701
GNAO1,2775
ADD1,118
GNAS,2778
DNM1L,10059
PTHLH,5744
TFAP2C,7022
AURKA,6790
CNOT3,4849
DNMT3B,1789
FKBP1A,2280
SLC23A2,9962
KDM2B,84678
LHX5,64211
TASP1,55617
PXN,5829
KIF16B,55614
TBX5,6910
FUS,2521
BIRC5,332
LTBP4,8425
SLC9A1,6548
SPTLC1,10558
CCNK,8812
MAEA,10296
TFAP4,7023
CHRD,8646
EFNB1,1947
GLG1,2734
DLL3,10683
LAMB1,3912
SLC26A3,1811
DLD,1738
ITGA6,3655
FH,2271
TF,7018
APOH,350
SLC17A6,57084
ANGPT2,285
G2E3,55632
HECTD1,25831
HNRNPC,3183
GEMIN2,8487
TGM1,7051
TINF2,26277
TRPM7,54822
SNAP23,8773
TBX15,6913
PHGDH,26227
EZR,7430
TGFB2,7042
NUP50,10762
CDC45,8318
TMEM38B,55151
PTGS1,5742
SH2D3C,10044
CYP26A1,1592
HSP90AB1,3326
DSP,1832
SIRT1,23411
JAK2,3717
ABL1,25
CDC7,8317
PCSK5,5125
SCD,6319
NRP1,8829
HSD3B7,80270
MTAP,4507
SERPIND1,3053
CRKL,1399
CECR2,27443
SMARCB1,6598
CABIN1,23523
SF3A1,10291
PES1,23481
MAPK1,5594
PPM1F,9647
CARD10,29775
PLA2G3,50487
HIRA,7290
PATZ1,23598
TRIOBP,11078
SOX10,6663
DDX17,10521
CBY1,25776
XBP1,7494
SBF1,6305
HMOX1,3162
THOC5,8563
PDGFB,5155
TAB1,10454
MYH9,4627
TXN2,25828
NCF4,4689
RBX1,9978
EP300,2033
RANGAP1,5905
PHF5A,84844
BRD1,23774
PRMT5,10419
GNPNAT1,64841
KIAA0586,9786
DAAM1,23002
SPTLC2,9517
CHGA,1113
HIF1A,3091
DICER1,23405
MTHFD1,4522
TELO2,9894
PSMC1,5700
YY1,7528
TRIP11,9321
APEX1,328
ARHGAP5,394
CHD8,57680
NFKBIA,4792
REC8,9985
PNN,5411
GSS,2937
PROCR,10544
GINS1,9837
IFT52,51098
MYBL2,4605
HNF4A,3172
NDRG3,57446
SALL4,57167
ADNP,23394
BMP7,655
RAE1,8480
AVP,551
CHRNA4,1137
ARFRP1,10139
CSNK2A1,1457
CDS2,8760
PROKR2,128674
FERMT1,55612
PLCB4,5332
POFUT1,23509
KIF3B,9371
JAG1,182
CHMP4B,128866
SLC32A1,140679
ASIP,434
CELF4,56853
SMCHD1,23347
SMAD7,4092
LAMA1,284217
MIB1,57534
RBBP8,5932
ALG13,79868
F9,2158
GATA1,2623
NALCN,259232
KLF5,688
FGF9,2254
SUPT20H,55578
FLT1,2321
INTS6,26512
MGRN1,23295
NFAT5,10725
ZNF423,23090
CTCF,10664
PSMD7,5713
VAC14,55697
SMPD3,55512
AXIN1,8312
NPRL3,8131
TSC2,7249
LMF1,64788
FOXF1,2294
NARFL,64428
CLCN7,1186
STUB1,10273
UBE2I,7329
MEFV,4210
DNAJA3,9093
SALL1,6299
RBL2,5934
RPGRIP1L,23322
STX4,6810
BCKDK,10295
KAT8,84148
CSK,1445
FAH,2184
OCA2,4948
GABPB1,2553
DNAJC17,55192
SLC30A4,7782
FZD3,7976
EYA1,2138
NBN,4683
IMPAD1,54928
IKBKB,3551
JPH1,56704
TRPS1,7227
UBR5,51366
TSTA3,7264
ERI1,90459
MCM4,4173
ASAH1,427
GYS1,2997
RELB,5971
PPP1R13L,10848
ERCC2,2068
DOT1L,84444
SLC17A7,57030
NOVA2,4858
FBL,2091
GPI,2821
PIAS4,51588
FZR1,51343
TGFB1,7040
RPS19,6223
NAPA,8775
ATP1A3,478
PTPRS,5802
LIG1,3978
RASIP1,54922
BCAT2,587
PPP2R1A,5518
KLF1,10661
DNASE2,1777
PRPF31,26121
ELL,8178
WBP7,9757
ETV2,2116
USF2,7392
LSR,51599
FKBP8,23770
SCN1B,6324
ERF,2077
PMPCB,9512
NAMPT,10135
ITGB8,3696
SP4,6671
DLX5,1749
MET,4233
WNT2,7472
HOXA1,3198
DNAJB6,10049
HOXA2,3199
HOXA3,3200
LFNG,3955
HOXA5,3202
HOXA13,3209
EVX1,2128
TAX1BP1,8887
CPVL,54504
GRB10,2887
STX1A,6804
GARS,2617
TAF6,6878
WASL,8976
AIMP2,7965
MOSPD3,64598
C1GALT1,56913
PLOD3,8985
NRF1,4899
EZH2,2146
MEST,4232
MEOX2,4223
AHR,196
CHCHD3,54927
GLI3,2737
RHEB,6009
AEBP1,165
MYL7,58498
GCK,2645
FKTN,2218
TGFBR1,7046
LHX6,26468
DNM1,1759
ENG,2022
RLN1,6013
TYRP1,7306
LHX3,8022
DDX58,23586
GLIS3,169792
BAG1,573
RAPGEF1,2889
SHB,6461
ZFAND5,7763
GATA3,2625
CXCL12,6387
CUBN,8029
ATE1,11101
PLEKHA1,59338
UNC5B,219699
BMPR1A,657
FGF8,2253
TNKS2,80351
SUFU,51684
MAP3K8,1326
DKK1,22943
EBF3,253738
GLRX3,10539
SHOC2,8036
TFAM,7019
ZMIZ1,57178
GIT1,28964
AATF,26574
FBXL20,84961
WNT3,7473
ASPA,443
RAD51C,5889
KPNB1,3837
PFN1,5216
RAI1,10743
SLC6A4,6532
BLMH,642
CCDC47,57003
MED31,51003
DDX5,1655
HNF1B,6928
DHX58,79132
KAT2A,2648
CNTNAP1,8506
COL1A1,1277
PRKAR1A,5573
YWHAE,7531
DPH1,1801
SLC9A3R1,9368
IFT20,90410
PMP22,5376
FOXN1,8456
PHOX2B,8929
NFKB1,4790
GAB1,2549
WFS1,7466
CLCN3,1182
SLC2A9,56606
FBXW7,55294
WHSC1,7468
NKX3-2,579
GLRB,2743
RAPGEF2,9693
KLF3,51274
UGDH,7358
PPARGC1A,10891
DBX1,120237
ZNF259,8882
SC5D,6309
EHD1,10938
SUV420H1,51111
NRXN2,9379
CPT1A,1374
CCND1,595
CCDC86,79080
PRPF19,27339
CHORDC1,26973
FOLR1,2348
EIF4G2,1982
UPK2,7379
CBL,867
SLC1A2,6506
AMBRA1,55626
MADD,8567
PTPMT1,114971
SOX6,55553
AIP,9049
NUP98,4928
TCIRG1,10312
CHKA,1119
SLC11A2,4891
PTGES3,10728
MYF6,4618
MYF5,4617
METAP2,10988
ELK3,2004
FOXM1,2305
ARPC3,10094
MYL2,4633
CUX2,23316
KCNA1,3736
SCNN1A,6337
CDK2AP1,8099
TIMELESS,8914
GAPDH,2597
USP5,8078
TPI1,7167
ATN1,1822
PTPN6,5777
NANOG,79923
SUDS3,64426
PRKAB1,5564
PHC1,1911
RFX4,5992
COL12A1,1303
ASF1A,25842
MCM9,254394
FBXO5,26271
PPARD,5467
MAPK14,1432
SRSF3,6428
SOD2,6648
MCM3,4172
BMP5,653
RAB23,51715
E2F3,1871
SIM1,6492
WASF1,8936
ALDH5A1,7915
GMNN,51053
EYA4,2070
PEX7,5191
PERP,64065
GPR126,57211
QKI,9444
MDFI,4188
TFEB,7942
BYSL,705
TBP,6908
PPP2R5D,5528
PTK7,5754
SRF,6722
VEGFA,7422
LAMA4,3910
TBX18,9096
SEMA5A,9037
GHR,2690
HBEGF,1839
LOX,4015
HMGCR,3156
COL4A3BP,10087
HAND1,9421
GABRG2,2566
LMNB1,4001
NPR3,4883
PDE4D,5144
RAD50,10111
NUP155,9631
PPP2CA,5515
NR3C1,2908
LIFR,3977
SMAD5,4090
PDGFRB,5159
BCL6,604
NPHP3,27031
UBE3A,7337
PDCD10,11235
WNT5A,7474
COL7A1,1294
HES1,3280
ECT2,1894
GNAI2,2771
RPL24,6152
FXR1,8087
IFT57,55081
GBE1,2632
ACVR2B,93
VIPR1,7433
SSR3,6747
FOXP1,27086
ADAM23,8745
TTL,150465
PIKFYVE,200576
ACTR3,10096
EPB41L5,57669
TFCP2L1,29842
POMC,5443
GPD2,2820
CENPA,1058
ACVR1,90
ITGA4,3676
PPM1G,5496
TLX2,3196
SPTBN1,6711
RTN4,57142
ACADL,33
FANCL,55120
FN1,2335
STAT1,6772
GLS,2744
GGCX,2677
OTX1,5013
SF3B1,23451
SMYD1,150572
MLPH,79083
SLC5A7,60482
PROC,5624
ID2,3398
ODC1,4953
BIRC6,57448
SLC25A12,8604
DLX2,1746
SOS1,6654
RND3,390
ATF2,1386
TIA1,7072
KISS1R,84634
EPAS1,2034
ARID3A,1820
SUMO1,7341
SPR,6697
PRRX1,5396
DHCR24,1718
NPHS2,7827
ICMT,23463
STXBP3,6814
ERRFI1,54206
WDR77,79084
RAP1A,5906
HDAC1,3065
LAMTOR2,28956
DNAJC6,9829
IVNS1ABP,10625
MFN2,9927
SLC35D1,23169
WLS,79971
UCHL5,51377
ZBTB17,7709
NR5A2,2494
MTR,4548
BMP8B,656
ACADM,34
RGS4,5999
ECE1,1889
HMGCL,3155
PRPF3,9129
APH1A,51107
SLC2A1,6513
CDC20,991
F3,2152
IRF6,3664
SERPINC1,462
PROX1,5629
ARID1A,8289
PPP1R8,5511
STK11,6794
MLL,4297
TNNT2,7139
NRP2,8828
CREB1,1385
KLF7,8609
ELOVL4,6785
CNR1,1268
PLAGL1,5325
TNFAIP3,7128
MYB,4602
ARG1,383
CTGF,1490
TCF21,6943
FBXL5,26234
VAMP8,8673
DCLRE1B,64858
PKD2,5311
SATB2,23314
TRPM6,140803
TJP2,9414
ITGB1BP1,9270
RAD23B,5887
MAPKAP1,79109
NR4A3,8013
INVS,27130
VSX2,338917
LTBP2,4053
TGFB3,7043
ESRRB,2103
DNMT3A,1788
BCL11A,53335
CRIPT,9419
EPCAM,4072
SLC17A5,26503
NKX2-3,159296
PPP1R3C,5507
HELLS,3070
GNA13,10672
HOXB3,3213
HOXB1,3211
TEK,7010
GRIA2,2891
WDR55,54853
MRC1,4360
EPC1,80314
ALG5,29880
SIL1,64374
SERP1,27230
APAF1,317
TARDBP,23435
COPS5,10987
RDH10,157506
SPOP,8405
TBX2,6909
TBX4,9496
ADCY7,113
TSHZ3,57616
LHX4,89884
RNF2,6045
DPPA4,55211
MAPK8IP1,9479
KHDRBS1,10657
PIK3CA,5290
PDS5A,23244
LIAS,11019
CXCR4,7852
ACVR2A,92
MTERFD2,130916
TBX22,50945
MYOG,4656
RBBP6,5930
LDB3,11155
INHBA,3624
TWIST1,7291
RECK,8434
ACO1,48
CNTFR,1271
CALD1,800
NEUROG3,50674
BICC1,80114
EGR2,1959
ECD,11319
P4HA1,5033
VPS26A,9559
RBM19,9904
CIT,11113
WDR83,84292
ATP7B,540
NEUROD4,58158
HOXC13,3229
CDK2,1017
LRP1,4035
NFE2,4778
DBH,1621
STIL,6491
COL10A1,1300
AMD1,262
PLP1,5354
NRK,203447
KCNJ2,3759
AGO2,27161
SLC12A5,57468
NCOA3,8202
PLCG1,5335
ARFGEF2,10564
EDN3,1908
CSE1L,1434
SNAI1,6615
PCK1,5105
STAMBP,10617
MOCS1,4337
SPDEF,25803
SOX4,6659
SSR1,6745
EEF1E1,9521
RUNX2,860
GCM2,9247
WNT1,7471
EFNB2,1948
BMP4,652
SOX9,6662
SLC25A19,60386
PAX8,7849
POLR1B,84172
MED1,5469
FOXA2,3170
NKX2-2,4821
BMP2,650
FLRT3,23767
OVOL2,58495
MKKS,8195
ITPA,3704
TCF15,6939
S1PR4,8698
CITED1,4435
MAX,4149
EIF2S2,8894
PLAGL2,5326
AMOT,154796
UROD,7389
F10,2159
PCID2,55795
CAPNS1,826
THRA,7067
PRMT1,3276
ASL,435
SBDS,51119
STAT5A,6776
BECN1,8678
NSRP1,84081
SIX1,6495
NUP214,8021
AVPR2,554
CANX,821
IPPK,64768
BCL11B,64919
TRAF2,7186
RAP1B,5908
PTPRB,5787
FGFRL1,53834
UBR4,23352
SIN3B,23309
KLF2,10365
MACF1,23499
SMARCA4,6597
HIP1,3092
PTPN12,5782
FGL2,10875
SRD5A3,79644
KDR,3791
DGCR8,54487
ATF4,468
LIF,3976
POT1,25913
VGF,7425
PODXL,5420
FOXP2,93986
FLNC,2318
SMO,6608
FEZF1,389549
HOXD3,3232
GAD1,2571
HOXD11,3237
HOXD13,3239
HERC2,8924
SNRPN,6638
TWSG1,57045
EIF2AK4,440275
TTBK2,146057
DLL4,54567
ALDH1A2,8854
MBD4,8930
PALLD,23022
CSRP3,8048
ATP1B2,482
ILF3,3609
FOXA1,3169
DAD1,1603
FOXJ1,2302
ASH2L,9070
CDKN1C,1028
SYT5,6861
TNNI3,7137
GAMT,2593
ECSIT,51295
GDF1,2657
KIF1A,547
MLLT1,4298
MLLT4,4301
ACTN4,81
EPO,2056
UNC13A,23025
SCO2,9997
LSM4,25804
COL5A1,1289
HBZ,3050
PAK4,10298
MNX1,3110
TAF4,6874
LAMA5,3911
ADRM1,11047
ASS1,445
POMT1,10585
TRIM28,10155
ANGPTL6,83854
DNMT1,1786
DUSP9,1852
SLC7A10,56301
UBE4B,10277
SYNE1,23345
LATS1,9113
RBM39,9584
SLC34A1,6569
NFATC1,4772
RLIM,51132
ABCB7,22
TRAF3,7187
CAPN7,23473
KIF3A,11127
MGAT1,4245
TUBG1,7283
ACLY,47
RAMP2,10266
EXOC4,60412
ANO1,55107
BARX1,56033
MAP1B,4131
RARA,5914
PEX11B,8799
PDHA1,5160
LLGL1,3996
LIN28A,79727
RFX1,5989
CC2D1A,54862
LHX1,3975
ACACA,31
RAF1,5894
SLC6A11,6538
PPARG,5468
HSD17B7,51478
INPP5K,51763
RPA1,6117
DDC,1644
ANKRD17,26057
ITGB4,3691
KDM6B,23135
DLG4,1742
TERF2,7014
SNAP25,6616
PCNA,5111
DAP3,7818
NES,10763
NASP,4678
AP3B1,8546
CASP9,842
CDK8,1024
MYH10,4628
POSTN,10631
TPT1,7178
MYH11,4629
LARGE,9215
MYO18B,84700
KRAS,3845
SPINK5,11005
IMPA1,3612
HSD17B4,3295
MEN1,4221
GSC,145258
UNC79,57578
NUMB,8650
EIF2S1,1965
CCNB1,891
VHL,7428
NOTCH2,4853
NGF,4803
PPHLN1,51535
YWHAQ,10971
KIDINS220,57498
ROCK2,9475
MYCN,4613
LPIN1,23175
LDHA,3939
SAA2,6289
IL6ST,3572
FST,10468
CDC73,79577
CRB1,23418
RAX,30062
SOX5,6660
LRP4,4038
SOX3,6658
CDCA8,55143
DSG3,1830
DSC3,1825
APLNR,187
PDGFRA,5156
COL4A2,1284
ERCC5,2073
ETS1,2113
APC,324
WDR36,134430
RFK,55312
CTSL1,1514
ADAM19,8728
HNF1A,6927
TBX3,6926
DMTF1,9988
PNPLA8,50640
RINT1,60561
AKIRIN2,55122
MAP3K7,6885
LMO2,4005
PHF21A,51317
ELF5,2001
CAPRIN1,4076
AVIL,10677
GDF11,10220
ITGA7,3679
CDK4,1019
ESPL1,9700
ACVR1B,91
AHI1,54806
HEY2,23493
MDM2,4193
AGT,183
EGLN1,54583
GLUL,2752
DHX9,1660
LAMC1,3915
PAX3,5077
HTR2B,3357
REV1,51455
EDAR,10913
FLNB,2317
LMO7,4008
