#Gene_Name,Entrez
SPRY2,10253
EDNRB,1910
TNS3,64759
RAC1,5879
HUS1,3364
DBNL,28988
CCM2,83605
NKX2-1,7080
NMT1,4836
SRSF1,6426
VEZF1,7716
KAT7,11143
TRA2B,6434
SCN2A,6326
TBR1,10716
GATA4,2626
SKIL,6498
HLX,3142
CFC1,55997
BIN1,274
HS6ST1,9394
ABI1,10006
TXN,7295
ODF2,4957
KLF4,9314
TOR1A,1861
TMOD1,7111
STXBP1,6812
SLC2A8,29988
CDK5RAP2,55755
SLC31A1,1317
NR5A1,2516
XPA,7507
ANP32B,10541
LMX1B,4010
ENPP2,5168
MYC,4609
NOV,4856
IL11RA,3590
TLN1,7094
CNPY3,10695
FOXP4,116113
TFAP2A,7020
GCM1,8521
FOXF2,2295
RIPK1,8737
CLPS,1208
TAF8,129685
NUMA1,4926
NEK1,4750
YAP1,10413
MAP2K5,5607
THBS1,7057
NUSAP1,51203
CASC5,57082
SMAD6,4091
ADAM10,102
DBT,1629
IFT172,26160
ADCY3,109
PPM1B,5495
PNPT1,87178
DYNC2LI1,51626
FBXO11,80204
SIX3,6496
LBX1,10660
KIF11,3832
ARL3,403
EXOC6,54536
ANXA7,310
TIMM23,100287932
BARD1,580
SSB,6741
CHRNA1,1134
ITGAV,3685
SLC40A1,30061
COX17,10063
USP8,9101
GLCE,26035
HCN4,10021
PCDH10,57575
FRAS1,80144
SHROOM3,57619
CENPE,1062
LEF1,51176
SEC24B,10427
MTTP,4547
MAPK8IP3,23162
ETV6,2120
AEBP2,121536
PRICKLE1,144165
VAMP1,6843
PEX5,5830
COL2A1,1280
LGR5,8549
DUSP6,1848
ASCL1,429
TDG,6996
FOXN4,121643
SLC7A1,6541
PDX1,3651
TARBP2,6895
ACVRL1,94
BRCA2,675
MAP3K12,7786
RB1,5925
ZIC5,85416
CUL4A,8451
NOVA1,4857
TCF12,6938
CDAN1,146059
TLE3,7090
TPM1,7168
IGF1R,3480
CYP11A1,1583
BBS4,585
PCSK6,5046
CYP1A2,1544
POLG,5428
NTRK3,4916
FURIN,5045
PMM2,5373
FTO,79068
MBTPS1,8720
PDPK1,5170
NCOR1,9611
COPS3,8533
MYOCD,93649
UNC45B,146862
VPS53,55275
NPEPPS,9520
PTRH2,51651
SS18,6760
AFG3L2,10939
GNAL,2774
GALNT1,2589
ADCYAP1,116
MEP1B,4225
GATA6,2627
TP53,7157
CCDC40,55036
CSNK1D,1453
RPTOR,57521
SMAD4,4089
PIP4K2B,8396
ERBB2,2064
CACNA1A,773
BRD4,23476
VAV1,7409
DNMT3L,29947
AKT1,207
CARM1,10498
RERE,473
PRDM16,63976
PEX14,5195
PLK4,10733
WDTC1,23038
HSPG2,3339
BCL10,8915
CYR61,3491
LMO4,8543
BARHL2,343472
MTF2,22823
GJA5,2702
POU2F1,5451
PFDN2,5202
TOR1AIP1,26092
SNX27,81609
SETDB1,9869
ARNT,405
DTL,51514
TP53BP2,7159
S100A8,6279
TPM3,7170
SNAPIN,23557
ILF2,3608
FLG,2312
ACTA1,58
LEFTY2,7044
PARP1,142
LBR,3930
WNT9A,7483
REN,5972
SYT2,127833
OSR1,130497
VPS54,51542
ASXL2,55252
MEIS1,4211
SNRNP200,23020
SLC20A1,6574
SCN1A,6323
KIAA1715,80856
DLX1,1745
UBR3,130507
HSPD1,3329
ABCA12,26154
SUMF1,285362
CXCR7,57007
FANCD2,2177
CSRNP1,64651
ITGA9,3680
SLC25A26,115286
UBA3,9039
NFKBIZ,64332
LPP,4026
VPRBP,9730
SLIT2,9353
CENPC1,1060
ANK2,287
CCNA2,890
SETD7,80854
PDGFC,56034
PLK2,10769
PIK3R1,5295
HAPLN1,1404
SSBP2,23635
RASA1,5921
PAM,5066
BTF3,689
CXCL14,9547
GLRA1,2741
TNIP1,10318
G3BP1,10146
MUT,4594
PHIP,55023
RSPO3,84870
WTAP,9589
CREB5,9586
EGFR,1956
NCAPG2,54892
CASK,8573
HDAC8,55869
LPAR4,2846
EBP,10682
HTR2C,3358
GPC3,2719
MCPH1,79648
NSDHL,50814
SLC25A37,51312
STAR,6770
TERF1,7013
RSPO2,340419
SLC39A4,55630
NFIB,4781
NTRK2,4915
UGCG,7357
GSN,2934
NR6A1,2649
CRB2,286204
SURF1,6834
INPP5E,56623
NOTCH1,4851
CACNA1B,774
PARD3,56288
ZEB1,6935
A1CF,29974
VAX1,11023
TCF7L2,6934
CYP17A1,1586
ADAM12,8038
RGS10,6001
ADM,133
HSD17B12,51144
SSRP1,6749
PTPRJ,5795
CELF1,10658
C11orf73,51501
TENM4,26011
SERPINH1,871
CAPN5,726
NCAM1,4684
LAMTOR1,55004
ST14,6768
HYOU1,10525
CSRP2BP,57325
MTA2,9219
INCENP,3619
CHEK1,1111
JPH2,57158
FERMT3,83706
PLCB3,5331
TBX6,6911
PPP4C,5531
GRIN2B,2904
ITGB1,3688
ARID5B,84159
LATS2,26524
VEGFC,7424
DOCK1,1793
PTS,5805
FREM2,341640
FOXO1,2308
CRIM1,51232
UBC,7316
ITPR1,3708
CACNA1C,775
IPMK,253430
RAD9B,144715
AKAP6,9472
NPAS3,64067
EXT2,2132
MSGN1,343930
NEK7,140609
UPF2,26019
EDNRA,1909
NR3C2,4306
ADAM17,6868
FLI1,2313
KCNJ1,3758
SAV1,60485
GABRA2,2555
GFRA1,2674
DST,667
TIAL1,7073
BAG3,9531
SCHIP1,29970
POU4F1,5457
GRID2,2895
TCF7L1,83439
XRCC4,7518
ZFP36L2,678
PFKM,5213
SPEF2,79925
GJA1,2697
PELO,53918
HHEX,3087
RAD17,5884
MED21,9412
ZIC1,7545
DAB2,1601
BCL2L11,10018
SMARCA5,8467
HNRNPU,3192
RANBP2,5903
AHCTF1,25909
NR4A2,4929
RBMS1,5937
SCN3A,6328
LPCAT1,79888
UBP1,7342
CEBPG,1054
LGI4,163175
DDAH1,23576
HS2ST1,9653
MSI2,124540
ROBO3,64221
ANGPT1,284
WNT3A,89780
BUB3,9184
PDLIM3,27295
CXADR,1525
RABGEF1,27342
GABPA,2551
ADAMTS1,9510
CCDC174,51244
FLCN,201163
DPH3,285381
CXXC1,30827
AZIN1,51582
MARCKS,4082
DBI,1622
SLC7A7,9056
TTN,7273
PPARGC1B,133522
GRIP1,23426
KIF5A,3798
GNAQ,2776
ADK,132
N6AMT1,29104
USP16,10600
FGF18,8817
GDF6,392255
MTERFD1,51001
SUPV3L1,6832
NODAL,4838
KAT6B,23522
AIFM1,9131
ZIC3,7547
BUB1B,701
NRG1,3084
PAXIP1,22976
SSBP3,23648
MMP14,4323
KIT,3815
HYDIN,54768
RNF111,54778
CCNB2,9133
MYO1E,4643
DYRK1A,1859
KCNJ6,3763
ERG,2078
ETS2,2114
BRAF,673
SLC34A2,10568
ACAN,176
WDR19,57728
SKI,6497
GRHL3,57822
XDH,7498
WASF2,10163
NRG2,9542
B4GALT5,9334
ALAS2,212
PPP1R15B,84919
PKD1L1,168507
F11R,50848
EDA,1896
WNT9B,7484
SYNJ1,8867
SV2A,9900
RUNX1,861
IGF2BP1,10642
ACTC1,70
MORC3,23515
SIM2,6493
SCUBE1,80274
PSMD4,5710
HK2,3099
ISL2,64843
ACE,1636
CTBP1,1487
ATP6V0D1,9114
AGRP,181
NPR2,4882
GNE,10020
ARHGAP35,2909
PTGIR,5739
PKNOX1,5316
CBS,875
G6PD,2539
ITGB2,3689
MCM3AP,8888
SAFB,6294
SHC1,6464
ADAR,103
PTH1R,5745
LY6E,4061
FOXH1,8928
MAML1,9794
DVL3,1857
AP2M1,1173
PCYT1A,5130
NPHS1,4868
SRSF2,6427
ITGA5,3678
ZNF385A,25946
AQP5,362
RACGAP1,29127
CCNF,899
RPL29,6159
SYVN1,84447
LRP5,4041
FGF19,9965
TAL1,6886
MAGOH,4116
BSND,7809
PPAP2B,8613
JAK1,3716
PDPN,10630
ALPL,249
WNT4,54361
NFIA,4774
USP1,7398
LHX8,431707
VCAM1,7412
NCSTN,23385
VANGL2,57216
LMX1A,4009
FLVCR1,28982
RBM15,64783
KIF26B,55083
PKDCC,91461
CAPN2,824
PEX13,5194
NEUROD1,4760
H3F3A,3020
EN1,2019
INHBB,3625
XIRP2,129446
SMARCAD1,56916
MSX1,4487
ERCC3,2071
BMP10,27302
FZD5,7855
NPPC,4880
ALPP,250
CLDN1,9076
PYGO2,90780
POGLUT1,56983
ATP1A1,476
FSTL1,11167
ELF3,1999
CCT3,7203
STK36,27148
FEV,54738
IHH,3549
EOMES,8320
TGFBR2,7048
NFASC,23114
NUAK2,81788
SPTA1,6708
PRKCI,5584
SLC2A2,6514
CADPS,8618
NKX6-1,4825
ADAMTS9,56999
PPM1K,152926
TIPARP,25976
HESX1,8820
TOPBP1,11073
RYK,6259
ZNF148,7707
SENP2,59343
IFT122,55764
TKT,7086
GNL3,26354
PBRM1,55193
LRPAP1,4043
H2AFZ,3015
CDC25A,993
SPRY1,10252
INTU,27152
MST1R,4486
RAD54L2,23132
PITX2,5308
HAND2,9464
MAD2L1,4085
HPGD,3248
HHIP,64399
ABCE1,6059
NIPBL,25836
F2RL1,2150
SPINK1,6690
HTR4,3360
CASP3,836
RICTOR,253260
FOXQ1,94234
CSF2,1437
SLC35A1,10559
TLX3,30012
CITED2,10370
T,6862
STXBP5,134957
TBX20,57057
CAMLG,819
BMPER,168667
KCNK5,8645
SP8,221833
SHH,6469
COL1A2,1278
LMTK2,22853
SOX17,64321
DLC1,10395
PEX2,5828
RAD21,5885
TNFRSF11B,4982
DEFB1,1672
UNCX,340260
NOS3,4846
INTS1,26173
CDK5,1020
SLC4A2,6522
OSR2,116039
FREM1,158326
TMEM67,91147
PSIP1,11168
SYK,6850
ABCA1,19
FXN,2395
PIGA,5277
STRBP,55342
ATP7A,538
VCP,7415
WRN,7486
TSHR,7253
INPPL1,3636
PHOX2A,401
GJB2,2706
ARF6,382
TTC8,123016
CDX2,1045
OTX2,5015
DRGX,644168
DACT1,51339
SLC18A2,6571
DACH1,1602
NSD1,64324
CLEC1B,51266
TSC1,7248
GFI1B,8328
RET,5979
PSMC3,5702
RAPSN,5913
SLC6A5,9152
NELL1,4745
CACNB2,783
JAM3,83700
AMN,81693
SPINT1,6692
FBN1,2200
POLL,27343
COPS2,9318
GABRB3,2562
SPIC,121599
FRS2,10818
TMEM100,55273
ILK,3611
TAF10,6881
TPP1,1200
DCHS1,8642
RPL27A,6157
ATMIN,23300
WEE1,7465
MAPK7,5598
MCM7,4176
TK2,7084
NDEL1,81565
HSP90B1,7184
AP1G1,164
KIF7,374654
MESP1,55897
SCNN1G,6340
TERF2IP,54386
PLK1,5347
SCG5,6447
GREM1,26585
PDIA3,2923
PBX3,5090
PHB,5245
SLC27A4,10999
ENDOG,2021
ISLR2,57611
SP2,6668
COQ7,10229
GPRC5B,51704
CRK,1398
IGF2,3481
STIM1,6786
CA4,762
GPX4,2879
ANKRD11,29123
AQP2,359
TTYH1,57348
SPINT2,10653
CHAF1A,10036
NXN,64359
KRT1,3848
ANGPTL4,51129
TBX10,347853
TK1,7083
CYP7A1,1581
MLST8,64223
E4F1,1877
ABCA3,21
DDB1,1642
FTH1,2495
SLC3A2,6520
C2CD3,26005
RPSA,3921
CTNNB1,1499
FADD,8772
SF1,7536
COPS6,10980
RBPJ,3516
PTF1A,256297
FOXI1,2299
MGAT2,4247
BMI1,648
THAP11,57215
BDKRB2,624
SCNN1B,6338
BMP1,649
FEN1,2237
GBX2,2637
MYL1,4632
COL3A1,1281
STAT3,6774
GDNF,2668
AXIN2,8313
LRP1B,53353
SEMA4C,54910
TET2,54790
SHOX2,6474
ATOH8,84913
SFTPB,6439
MAP2K1,5604
IRS1,3667
ROR2,4920
MN1,4330
RGS14,10636
B3GALNT1,8706
CRADD,8738
SIN3A,25942
ARL13B,200894
PTK2,5747
PTPN9,5780
SCN9A,6335
ZEB2,9839
LUZP1,7798
BUB1,699
SPNS1,83985
AGPAT2,10555
FASN,2194
CNBP,7555
RFNG,5986
LIMS1,3987
TAPT1,202018
GSX1,219409
ROBO1,6091
ONECUT1,3175
GUSB,2990
ZFPM2,23414
HOXD12,3238
CDK1,983
FOS,2353
TMED10,10972
SMAD1,4086
EMX2,2018
SP7,121340
SLC30A1,7779
KRT8,3856
KRT4,3851
SLC23A1,9963
PFKFB3,5209
CDH2,1000
SIX2,10736
KIF5B,3799
FSHR,2492
PPM1D,8493
TANC2,26115
PKHD1,5314
DNAJC24,120526
HAS2,3037
S1PR1,1901
MTM1,4534
INSR,3643
MFN1,55669
C1GALT1C1,29071
SOSTDC1,25928
BAHCC1,57597
CHST11,50515
CHD7,55636
KRT19,3880
HOPX,84525
PTGER4,5734
MAP6,4135
OTP,23440
ECEL1,9427
BCL2L1,598
FGG,2266
PLRG1,5356
DSCAM,1826
ZNF274,10782
BPTF,2186
HDAC3,8841
GPHN,10243
BCL2,596
MLLT3,4300
PTEN,5728
RNASEH1,246243
FOXB1,27023
GAP43,2596
LAMB2,3913
SMN1,6606
EIF2AK3,9451
CYCS,54205
MTBP,27085
ID4,3400
CEBPB,1051
ATOH1,474
DPAGT1,1798
HINFP,25988
ARNT2,9915
ZNF24,7572
AFF1,4299
RAD9A,5883
EFEMP2,30008
MUS81,80198
CFL1,1072
RPL38,6169
OVOL1,5017
SP3,6670
EGFL7,51162
DHCR7,1717
NBEA,26960
OXSR1,9943
KAT5,10524
ADRBK1,156
RELA,5970
BNC2,54796
COMMD1,150684
DMRT2,10655
MAP3K11,4296
DAG1,1605
INSM1,3642
DAB1,1600
SMARCC1,6599
CHD2,1106
SLC19A1,6573
RCE1,9986
HEG1,57493
STAT5B,6777
JUP,3728
HAP1,9001
CBX2,84733
HOXB2,3212
PIFO,128344
FBXO45,200933
LEMD3,23592
SOCS7,30837
RGMB,285704
PITPNA,5306
EVX2,344191
LIG4,3981
ATP2A2,488
BBS1,582
SLCO2A1,6578
SH3PXD2B,285590
ZIC4,84107
FBXW8,26259
CTBP2,1488
ATR,545
DSG4,147409
TRAF6,7189
MARCKSL1,65108
PCCA,5095
ARHGAP1,392
CST6,1474
PROP1,5626
CHRNA7,1139
SMAD2,4087
PCSK1,5122
LPL,4023
DRAP1,10589
FOSL1,8061
ERCC4,2072
NR2F1,7025
SFN,2810
DOK7,285489
FOXG1,2290
ATAD5,79915
RTTN,25914
ANAPC2,29882
HSD11B2,3291
KCMF1,56888
B3GNT5,84002
LMNB2,84823
FOXL1,2300
FOXC2,2303
BDNF,627
BASP1,10409
GRIN1,2902
SOX11,6664
DEAF1,10522
POLE,5426
DSCAML1,57453
KCNA2,3737
TOP3A,7156
HIC1,3090
TGIF1,7050
NR2C2,7182
GPR4,2828
OLIG3,167826
ATOX1,475
JUN,3725
GBA,2629
FLII,2314
KCNJ10,3766
GRB2,2885
UBE2N,7334
RIC8A,60626
DMAP1,55929
IMPDH2,3615
NDUFV2,4729
SH2B1,25970
PLEC,5339
SLITRK1,114798
AQP11,282679
NEUROG2,63973
ERBB4,2066
MAF,4094
CTNNBIP1,56998
ERN1,2081
SUZ12,23512
THBD,7056
MPI,4351
FOXE1,2304
PFAS,5198
ZBTB7A,51341
RMI1,80010
AURKB,9212
ZFP42,132625
HES7,84667
CYP11B2,1585
CALR,811
GADD45GIP1,90480
DAND5,199699
PTPN11,5781
GATA2,2624
ARID3B,10620
EGR3,1960
ZBTB18,10472
ALOX12B,242
ZFPM1,161882
CDH5,1003
TSHZ1,10194
TH,7054
MYLPF,29895
F2,2147
PRKRA,8575
ALX1,8092
FZD2,2535
PAK2,5062
GAS1,2619
GSX2,170825
SHISA2,387914
SCRIB,23513
PITPNB,23760
FKRP,79147
EHMT1,79813
F2R,2149
NPM1,4869
POLR2A,5430
SOX2,6657
MAB21L2,10586
SETD2,29072
ZBTB20,26137
SLC35C1,55343
CLDN7,1366
NEUROG1,4762
CREB3L2,64764
UNC5C,8633
RGMA,56963
RAD51B,5890
EXT1,2131
FIGN,55137
TSHZ2,128553
ORAI1,84876
FES,2242
SATB1,6304
CSF1R,1436
PLCB1,23236
NDN,4692
RESP18,389075
HOXB4,3214
EWSR1,2130
GJC1,10052
SLC8A1,6546
NKX2-5,1482
NEB,4703
DSCR6,53820
BCOR,54880
RIPK4,54101
EP400,57634
PSMG1,8624
NOG,9241
ASCL2,430
TBK1,29110
TRAIP,10293
FOXL2,668
LIN9,286826
KIRREL,55243
CNGA2,1260
SCN5A,6331
SETD8,387893
SMTN,6525
TBX1,6899
CLDN5,7122
KCNQ3,3786
ALDH1A3,220
PRKD1,5587
GDF3,9573
EFNA5,1946
CSF1,1435
CCR10,2826
TXNRD2,10587
POU3F2,5454
PROS1,5627
SOCS3,9021
MED12,9968
AMER1,139285
DRD1,1812
JAG2,3714
WT1,7490
RFX6,222546
ROBO2,6092
FLRT2,23768
FAF1,11124
HSF1,3297
MIXL1,83881
MC2R,4158
SOCS1,8651
HGS,9146
RAD51D,5892
KRT6B,3854
ROR1,4919
PRKG1,5592
NR2F2,7026
DLK1,8788
SP1,6667
FAM212A,389119
PBX1,5087
ZFP36L1,677
UBE2L3,7332
NTF3,4908
POU3F1,5453
MORF4L1,10933
IKZF1,10320
PCYT2,5833
ATP6V0C,527
PTCH1,5727
RASA3,22821
NDUFA13,51079
TAL2,6887
KRT5,3852
PIP5K1C,23396
WWOX,51741
EDARADD,128178
MKL2,57496
BACE1,23621
RXRA,6256
KRT10,3858
NF2,4771
PDE2A,5138
HEXIM1,10614
KRT14,3861
POFUT2,23275
FGF3,2248
P2RY4,5030
TMPRSS6,164656
TEAD1,7003
MITF,4286
FOXD3,27022
DYNC2H1,79659
EPOR,2057
DCC,1630
MAGI2,9863
COL4A1,1282
USP7,7874
SPRY4,81848
SLC18A3,6572
GABRD,2563
TCEA1,6917
HELT,391723
WNT7B,7477
MESP2,145873
AGRN,375790
CHM,1121
SRSF10,10772
HMX3,340784
UROS,7390
MTF1,4520
HMX2,3167
SLX4,84464
LRRK2,120892
GJB3,2707
NELFB,25920
LIPI,149998
RELN,5649
GJB5,2709
HMGB1,3146
PAX5,5079
MYT1,4661
S100A4,6275
FAT4,79633
RYR1,6261
PPIA,5478
ATP2A1,487
TRRAP,8295
EPHB4,2050
ESRRG,2104
NCOR2,9612
SLC6A9,6536
NACA,4666
SULF2,55959
LAMA2,3908
PLXNB2,23654
XRCC2,7516
MKL1,57591
HDAC2,3066
TCF4,6925
NF1,4763
CHRNG,1146
ADA,100
SCN8A,6334
LAMB3,3914
FLNA,2316
MAFG,4097
IGF2R,3482
DYNC1H1,1778
PGAP1,80055
SRC,6714
SYNGAP1,8831
BLM,641
TRIM33,51592
ADARB1,104
HTT,3064
PDGFA,5154
MYO5A,4644
ATG7,10533
DMBX1,127343
MYH6,4624
PARVA,55742
TEAD4,7004
ZNF335,63925
LPAR1,1902
MB,4151
MAN1A2,10905
TFDP1,7027
SZT2,23334
HOXC4,3221
ASNA1,439
NTRK1,4914
TXNRD1,7296
ARC,23237
COPS8,10920
MDM4,4194
RYR2,6262
NCOA6,23054
IPO9,55705
DLL1,28514
LDB1,8861
PPP1R14C,81706
SMOC1,64093
F5,2153
SLC5A3,6526
RASSF9,9182
ZNF830,91603
MTOR,2475
PNP,4860
PAX9,5083
GK,2710
CD247,919
OPA1,4976
LTN1,26046
TOP1,7150
MAP3K3,4215
L1CAM,3897
SREBF2,6721
POU3F3,5455
C9orf114,51490
ATG9A,79065
APRT,353
L3MBTL3,84456
DMD,1756
RIPPLY2,134701
SOX18,54345
MAFB,9935
GIGYF2,26058
PHACTR4,65979
DAXX,1616
BMPR2,659
RXRB,6257
BRD2,6046
COL5A2,1290
SKIV2L,6499
SDHD,6392
EHMT2,10919
CSNK2B,1460
BAG6,7917
POU5F1,5460
CDSN,1041
PPP1R10,5514
ZFP57,346171
GABBR1,2550
ATXN2,6311
DCTN1,1639
TCTN1,79600
PSENEN,55851
LGR4,55366
E2F4,1874
KRT6A,3853
CPT1B,1375
HMGN1,3150
LCMT1,51451
ITSN1,6453
CYS1,192668
OLIG2,10215
SERPINB5,5268
TRIM71,131405
NUP62,23636
CHUK,1147
VDAC1,7416
PPP1CB,5500
NOTO,344022
PPME1,51400
PHB2,11331
HMX1,3166
GCGR,2642
VAMP2,6844
EBF2,64641
PPP3R1,5534
ADRA2B,151
PARG,8505
TWIST2,117581
NME1,4830
AQP1,358
TDGF1,6997
PISD,23761
PEG10,23089
EIF6,3692
CNTF,1270
LEFTY1,10637
ETV5,2119
CEBPA,1050
CDK11B,984
FMN1,342184
SEPP1,6414
FOXD1,2297
PRKDC,5591
PINX1,54984
MAGEL2,54551
INS,3630
RTL1,388015
BRK1,55845
HMBS,3145
SALL3,27164
HP,3240
FNTB,2342
CUX1,1523
ITGB3,3690
